% Model,2D-Au-Plate.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 8 2025, 17:11"
% Table,Table 6 - Point Evaluation 3
% lambda0 (nm),M,"real(ewfd.relHphi) (A/m), Point: 13","imag(ewfd.relHphi) (A/m), Point: 13"
800,-2,-6.978057705717377E-5,1.363011793223975E-5
800,-1,8.833721300049384E-7,2.2623156404547346E-4
800,0,4.4509470424418654E-5,1.1173804884694477E-4
800,1,-2.119626381263972E-5,-1.4384390696219602E-5
800,2,1.4871128393744947E-6,8.327505718965288E-7
806,-2,-5.769617895789306E-5,-3.2626539767818504E-6
806,-1,-3.5568468948653776E-5,2.2995289960168577E-4
806,0,2.234753402081128E-5,1.2205303204114879E-4
806,1,-1.336150457744267E-5,-1.5089953578655699E-5
806,2,8.782556988273237E-7,9.5748853584305E-7
811.9999999999999,-2,-4.6735233277652124E-5,-1.2714925487323168E-5
811.9999999999999,-1,-7.455256290995109E-5,2.2441474422445087E-4
811.9999999999999,0,-8.794794105587285E-7,1.270318395239879E-4
811.9999999999999,1,-7.731892240739375E-6,-1.4433191449234472E-5
811.9999999999999,2,4.601772058535395E-7,9.225147195600709E-7
818,-2,-3.7426781480528994E-5,-1.8122863599413986E-5
818,-1,-1.1254548496083286E-4,2.1020318315456802E-4
818,0,-2.3964960169409224E-5,1.2711899404117317E-4
818,1,-3.533987445570485E-6,-1.3089131645445292E-5
818,2,1.7337116708457097E-7,8.276758829181048E-7
824,-2,-2.9578941058126384E-5,-2.1161731309035975E-5
824,-1,-1.4738043283824242E-4,1.8837319387133796E-4
824,0,-4.60074991518356E-5,1.229162826962935E-4
824,1,-3.687720166274026E-7,-1.1347297360191187E-5
824,2,-2.4111329126837935E-8,7.126883407917915E-7
830,-2,-2.29205018053426E-5,-2.270600219642322E-5
830,-1,-1.7756647852548062E-4,1.60028177355784E-4
830,0,-6.637487359805347E-5,1.1505761090460138E-4
830,1,1.9843819712551644E-6,-9.359862946757674E-6
830,2,-1.5921456000910595E-7,5.941093691852602E-7
835.9999999999999,-2,-1.7228202596551594E-5,-2.3241604053887388E-5
835.9999999999999,-1,-2.01939523351197E-4,1.262473610338183E-4
835.9999999999999,0,-8.463654810251766E-5,1.0414501874251687E-4
835.9999999999999,1,3.6526529530844044E-6,-7.223093566312691E-6
835.9999999999999,2,-2.491250912430354E-7,4.79155331059077E-7
842,-2,-1.2353312862497054E-5,-2.3075287064170346E-5
842,-1,-2.1953193815960057E-4,8.827197755254521E-5
842,0,-1.0049579477860544E-4,9.077725116273621E-5
842,1,4.713983177259532E-6,-5.0210442419633405E-6
842,2,-3.054607839824803E-7,3.7182098526753396E-7
848,-2,-8.18020801391684E-6,-2.241002961203233E-5
848,-1,-2.2958723437094196E-4,4.744700962368356E-5
848,0,-1.1378751686308532E-4,7.55079133602683E-5
848,1,5.223789589575543E-6,-2.8262820466448253E-6
848,2,-3.3651017632053023E-7,2.740147950323374E-7
854,-2,-4.607226640843675E-6,-2.1361349376563807E-5
854,-1,-2.31550625891909E-4,4.915015206033274E-6
854,0,-1.244865385304635E-4,5.8781316164914445E-5
854,1,5.221802309813646E-6,-6.86211228022918E-7
854,2,-3.480362569741939E-7,1.8637000926375058E-7
859.9999999999999,-2,-1.5747570165573639E-6,-2.0035623599576593E-5
859.9999999999999,-1,-2.2485228367580303E-4,-3.7853267276492745E-5
859.9999999999999,0,-1.3256760838892056E-4,4.1011772497752714E-5
859.9999999999999,1,4.734368835390535E-6,1.3357260665584764E-6
859.9999999999999,2,-3.4467275197552033E-7,1.0939055380223225E-7
866,-2,9.644557367342295E-7,-1.8540645061342194E-5
866,-1,-2.0923260750219292E-4,-7.882009955109399E-5
866,0,-1.38016244871491E-4,2.2630328878045767E-5
866,1,3.795793070224865E-6,3.1532174605997167E-6
866,2,-3.3046598234112675E-7,4.3156892996353116E-8
872,-2,3.0652242645468638E-6,-1.691399013385454E-5
872,-1,-1.8445694430593794E-4,-1.1647503017658219E-4
872,0,-1.4092016097958193E-4,3.899982291225903E-6
872,1,2.422658621081035E-6,4.7185768537447866E-6
872,2,-3.0801674574164487E-7,-1.2701815936289508E-8
878,-2,4.765802457412261E-6,-1.5211906069785427E-5
878,-1,-1.5052891048665656E-4,-1.4861489073675943E-4
878,0,-1.4132966417050228E-4,-1.4886419788478463E-5
878,1,6.373177811389526E-7,5.950826805105712E-6
878,2,-2.798228800791625E-7,-5.8566036557021963E-8
883.9999999999999,-2,6.109543667589682E-6,-1.3507010288973515E-5
883.9999999999999,-1,-1.0859765852952216E-4,-1.7231245949088565E-4
883.9999999999999,0,-1.393104422190896E-4,-3.3354002842346956E-5
883.9999999999999,1,-1.489437058414616E-6,6.736215141285476E-6
883.9999999999999,2,-2.4829045513659774E-7,-9.522201941679235E-8
890,-2,7.138812344268642E-6,-1.1829556701509122E-5
890,-1,-6.018492620910778E-5,-1.850159604127908E-4
890,0,-1.3497864245384079E-4,-5.124426974466146E-5
890,1,-3.887677913424832E-6,6.982478053795911E-6
890,2,-2.1497291716200455E-7,-1.2349081165054534E-7
896,-2,7.885306104077226E-6,-1.021077192966167E-5
896,-1,-8.000146456650394E-6,-1.8408295933251172E-4
896,0,-1.284834836655415E-4,-6.82217098445002E-5
896,1,-6.4456411181898515E-6,6.586610202193824E-6
896,2,-1.8133712570998075E-7,-1.4379335153508604E-7
901.9999999999999,-2,8.392760291728094E-6,-8.670596744314146E-6
901.9999999999999,-1,4.434531862854809E-5,-1.6739146894804733E-4
901.9999999999999,0,-1.1999357195120785E-4,-8.40946834559979E-5
901.9999999999999,1,-9.017952219088022E-6,5.462420356893082E-6
901.9999999999999,2,-1.483860380467044E-7,-1.5743132027945388E-7
907.9999999999999,-2,8.699590042180121E-6,-7.221056005574089E-6
907.9999999999999,-1,9.197827837471212E-5,-1.3363961410012027E-4
907.9999999999999,0,-1.0968069751749691E-4,-9.86895486625966E-5
907.9999999999999,1,-1.1410646383695222E-5,3.547942349991347E-6
907.9999999999999,2,-1.1675587751133649E-7,-1.6553178399343657E-7
914,-2,8.837605616117727E-6,-5.8713658106859236E-6
914,-1,1.2870896422700803E-4,-8.319225454934089E-5
914,0,-9.774828038482263E-5,-1.11812528907572E-4
914,1,-1.3372085518094705E-5,8.362288526730369E-7
914,2,-8.694870882257195E-8,-1.6892988938729193E-7
920,-2,8.83513941172653E-6,-4.62647852384226E-6
920,-1,1.4774172277296014E-4,-1.895093070557162E-5
920,0,-8.441996205147815E-5,-1.2329951311616729E-4
920,1,-1.461405513869157E-5,-2.587938783880036E-6
920,2,-5.930188193595286E-8,-1.6839632327151318E-7
925.9999999999999,-2,8.723601216285362E-6,-3.4912591878670778E-6
925.9999999999999,-1,1.4305223409844762E-4,5.205659660607627E-5
925.9999999999999,0,-6.997901302416488E-5,-1.3299552270450355E-4
925.9999999999999,1,-1.4846825662323061E-5,-6.469641024232829E-6
925.9999999999999,2,-3.399046411650694E-8,-1.6475679639934827E-7
931.9999999999999,-2,8.516022191986361E-6,-2.458608573319112E-6
931.9999999999999,-1,1.1122769297799314E-4,1.2174936297616748E-4
931.9999999999999,0,-5.4623653812152484E-5,-1.4085187047671582E-4
931.9999999999999,1,-1.3888957269061592E-5,-1.0515720369277376E-5
931.9999999999999,2,-1.1125525239201031E-8,-1.5844446911020967E-7
938,-2,8.229555618761676E-6,-1.5261039606532173E-6
938,-1,5.222342872300942E-5,1.792514074351343E-4
938,0,-3.858996613257169E-5,-1.468129966516034E-4
938,1,-1.1660120808819883E-5,-1.4299668306965838E-5
938,2,9.236939376844205E-9,-1.4998305720343275E-7
944,-2,7.888273211526287E-6,-6.922861101010167E-7
944,-1,-2.725689206219503E-5,2.128941673663146E-4
944,0,-2.2190025652591643E-5,-1.5084243935422928E-4
944,1,-8.327213049339633E-6,-1.7297867382167312E-5
944,2,2.719798434312996E-8,-1.3999115865075587E-7
949.9999999999999,-2,7.50347779740234E-6,4.921981607244148E-8
949.9999999999999,-1,-1.167639914383571E-4,2.1608042562387548E-4
949.9999999999999,0,-5.649846189680737E-6,-1.529720578239188E-4
949.9999999999999,1,-4.243995053834394E-6,-1.916959945824653E-5
949.9999999999999,2,4.282798639757072E-8,-1.288260469863881E-7
955.9999999999999,-2,7.0847619118616E-6,7.040744993664022E-7
955.9999999999999,-1,-2.0412109738775984E-4,1.872975472503095E-4
955.9999999999999,0,1.0821708433499718E-5,-1.532551892794433E-4
955.9999999999999,1,1.3492132328245227E-7,-1.9756036630749824E-5
955.9999999999999,2,5.6208715873198426E-8,-1.1680528235091695E-7
962,-2,6.641849139566933E-6,1.277905609257359E-6
962,-1,-2.778389778166639E-4,1.304272940660731E-4
962,0,2.7020010411659008E-5,-1.517702638194824E-4
962,1,4.340480807700627E-6,-1.9104009159426403E-5
962,2,6.746307772294181E-8,-1.0422415120613946E-7
968,-2,6.182875112068361E-6,1.7761640154788295E-6
968,-1,-3.2982064613911556E-4,5.325236012833856E-5
968,0,4.276319492547229E-5,-1.4861490537439453E-4
968,1,8.002623665300402E-6,-1.743303655878432E-5
968,2,7.67218738192115E-8,-9.13349091672955E-8
974,-2,5.7146846290652865E-6,2.2041315720783145E-6
974,-1,-3.5624816167908774E-4,-3.489816383516753E-5
974,0,5.789292755822363E-5,-1.4390142063613342E-4
974,1,1.090067911970719E-5,-1.5052743628513026E-5
974,2,8.412115715760888E-8,-7.83520534676858E-8
980,-2,5.243016184570529E-6,2.5670034038992524E-6
980,-1,-3.57148666829244E-4,-1.2520477224648964E-4
980,0,7.227498822293666E-5,-1.377532779282234E-4
980,1,1.2961553484175321E-5,-1.2282407768147046E-5
980,2,8.98003237376171E-8,-6.545480670245814E-8
985.9999999999999,-2,4.77229673012017E-6,2.8700208214406474E-6
985.9999999999999,-1,-3.3516974257145345E-4,-2.1063927217090253E-4
985.9999999999999,0,8.580726936317207E-5,-1.3029361484007563E-4
985.9999999999999,1,1.4224322828402809E-5,-9.394588296289662E-6
985.9999999999999,2,9.390687210235831E-8,-5.2771092407879616E-8
991.9999999999999,-2,4.307119485541708E-6,3.1184350879018567E-6
991.9999999999999,-1,-2.9441700862486303E-4,-2.859607518001997E-4
991.9999999999999,0,9.839500024134783E-5,-1.2165349450625888E-4
991.9999999999999,1,1.4790616664715313E-5,-6.601968064121943E-6
991.9999999999999,2,9.659931270537807E-8,-4.040616530908647E-8
997.9999999999999,-2,3.852250650868664E-6,3.3167030552734135E-6
997.9999999999999,-1,-2.39703953706421E-4,-3.47931601182228E-4
997.9999999999999,0,1.0994039639911825E-4,-1.1198621894841595E-4
997.9999999999999,1,1.4796442732554074E-5,-4.046602006150987E-6
997.9999999999999,2,9.801062817213371E-8,-2.8504777613520536E-8
1003.9999999999999,-2,3.407234181769883E-6,3.4669001387523144E-6
1003.9999999999999,-1,-1.7450970967547482E-4,-3.961225236900072E-4
1003.9999999999999,0,1.2042538704391756E-4,-1.0137616208616553E-4
1003.9999999999999,1,1.4379730886448185E-5,-1.7649804988038553E-6
1003.9999999999999,2,9.817780649596638E-8,-1.715000457185026E-8
1010,-2,2.975747456381808E-6,3.573476950460454E-6
1010,-1,-1.026090052802352E-4,-4.2960773251003324E-4
1010,0,1.297931612278212E-4,-8.995281019946196E-5
1010,1,1.365574355654473E-5,1.9864558414323443E-7
1010,2,9.725686944973154E-8,-6.423366456991095E-9
1016,-2,2.562319219403383E-6,3.642653385476781E-6
1016,-1,-2.8308271954192006E-5,-4.481307505425702E-4
1016,0,1.3798701142020815E-4,-7.788233403740688E-5
1016,1,1.2738749464142604E-5,1.814386703712552E-6
1016,2,9.545564618203865E-8,3.6332827743351943E-9
1022,-2,2.1665689659981764E-6,3.6763372361473103E-6
1022,-1,4.649883093137884E-5,-4.529148143669873E-4
1022,0,1.450074562515208E-4,-6.524096207523184E-5
1022,1,1.1707685051070729E-5,3.124377725418662E-6
1022,2,9.282813360200272E-8,1.297112928151623E-8
1028,-2,1.7899564184669334E-6,3.678002014855832E-6
1028,-1,1.1961499082291832E-4,-4.4484665122499644E-4
1028,0,1.5083863166394403E-4,-5.2134976833837904E-5
1028,1,1.0627054288769711E-5,4.156768866520234E-6
1028,2,8.949081568734967E-8,2.1558370951388332E-8
1033.9999999999998,-2,1.4336452450062586E-6,3.650988532622684E-6
1033.9999999999998,-1,1.891836780840412E-4,-4.2496067032998764E-4
1033.9999999999998,0,1.5547061387699432E-4,-3.866674594883524E-5
1033.9999999999998,1,9.54552795911979E-6,4.945276318474379E-6
1033.9999999999998,2,8.555562386271028E-8,2.9375231369674776E-8
1039.9999999999998,-2,1.098506349396151E-6,3.5985154457978927E-6
1039.9999999999998,-1,2.5362067862418243E-4,-3.9440059705643185E-4
1039.9999999999998,0,1.5889894096182848E-4,-2.4935481697821927E-5
1039.9999999999998,1,8.498401971433331E-6,5.525754998792462E-6
1039.9999999999998,2,8.112914191614543E-8,3.641344201198651E-8
1046,-2,7.851682485461729E-7,3.5236598201814236E-6
1046,-1,3.115583619555625E-4,-3.5439095719853566E-4
1046,0,1.6112339827774216E-4,-1.1037932808673131E-5
1046,1,7.509667952720144E-6,5.9336426926041705E-6
1046,2,7.631253695880022E-8,4.26744637318819E-8
1052,-2,4.939948240865218E-7,3.429371446356875E-6
1052,-1,3.6182443943351574E-4,-3.0625729187877017E-4
1052,0,1.6214873374927538E-4,2.9308774625798215E-6
1052,1,6.594201508049879E-6,6.202731743694115E-6
1052,2,7.120041523690357E-8,4.816948873838882E-8
1058,-2,2.2513775711623524E-7,3.3184515073750264E-6
1058,-1,4.034272387006593E-4,-2.5142120551530436E-4
1058,0,1.6198396615684814E-4,1.6877037630005653E-5
1058,1,5.759330796236573E-6,6.3639294712194536E-6
1058,2,6.588094044933723E-8,5.2917624167819935E-8
1064,-2,-2.1460424698262613E-8,3.193553148732226E-6
1064,-1,4.355705904701362E-4,-1.9141371330553332E-4
1064,0,1.606430501018739E-4,3.070728121014941E-5
1064,1,5.006391678625114E-6,6.444716693435133E-6
1064,2,6.043521150116049E-8,5.694524872609394E-8
1070,-2,-2.460722235088996E-7,3.0571752052565314E-6
1070,-1,4.576942425190596E-4,-1.2787381591809006E-4
1070,0,1.581459729083526E-4,4.4329056877064645E-5
1070,1,4.332021744180811E-6,6.468892403050714E-6
1070,2,5.493636352156377E-8,6.028532963901509E-8
1076,-2,-4.4913034172611287E-7,2.9116482970429733E-6
1076,-1,4.6949254166310837E-4,-6.251688165376854E-5
1076,0,1.5451852047401634E-4,5.76503382491451E-5
1076,1,3.72929116911055E-6,6.456041479882362E-6
1076,2,4.9450096020670714E-8,6.297570312282285E-8
1081.9999999999998,-2,-6.312951364160719E-7,2.7595809071315486E-6
1081.9999999999998,-1,4.710157936247824E-4,2.6367156689217753E-6
1081.9999999999998,0,1.498022620815308E-4,7.056968427941228E-5
1081.9999999999998,1,3.1919151441112126E-6,6.422351506876876E-6
1081.9999999999998,2,4.403856857979887E-8,6.507058066086895E-8
1087.9999999999998,-2,-7.934569277964564E-7,2.6032979744264427E-6
1087.9999999999998,-1,4.628027260559895E-4,6.56551917463233E-5
1087.9999999999998,0,1.4404971330441655E-4,8.299027007610675E-5
1087.9999999999998,1,2.7113080391758184E-6,6.380576574502021E-6
1087.9999999999998,2,3.8752061811995725E-8,6.662633477925944E-8
1094,-2,-9.359621364037967E-7,2.442510467909104E-6
1094,-1,4.4512671136069345E-4,1.259696480093121E-4
1094,0,1.3725424663069044E-4,9.486075438301943E-5
1094,1,2.263159213398684E-6,6.335440490349738E-6
1094,2,3.357912169489527E-8,6.761389898998091E-8
1100,-2,-1.0599166389112196E-6,2.2797632787255936E-6
1100,-1,4.188708530725498E-4,1.8179329704196007E-4
1100,0,1.2949733379807938E-4,1.0608837900667014E-4
1100,1,1.8414347607130774E-6,6.289566204062699E-6
1100,2,2.86016067760554E-8,6.81196512183512E-8
